ride_id,rider_id,rider_name,rider_city,rider_rating,signup_date,driver_id,driver_name,driver_city,driver_rating,ride_city,ride_status,request_time,start_time,end_time,waiting_time_min,ride_duration_min,distance_km,fare_amount,payment_method,payment_time,is_paid,fare_per_km,ride_date
RID22462,R8670,Rider_8670,Mumbai,4.2,2024-12-19,D3965,Driver_3965,Bangalore,4.1,Bangalore,COMPLETED,2024-06-08 18:02:29,2024-06-08 18:11:55,2024-06-08 18:27:21,9.43,15.43,7.18,143.6,CARD,2024-06-08 18:27:20,True,20.0,2024-06-08
RID15378,R2959,Rider_2959,Chennai,4.0,2024-12-02,D1629,Driver_1629,Chennai,4.3,Chennai,COMPLETED,2024-10-08 10:10:31,2024-10-08 10:20:47,2024-10-08 10:34:09,10.27,13.37,4.83,77.28,UPI,2024-10-08 10:34:08,True,16.0,2024-10-08
RID10315,R2615,Rider_2615,Mumbai,4.3,2024-05-22,D629,Driver_629,Chennai,4.6,Chennai,COMPLETED,2024-04-08 02:26:46,2024-04-08 02:38:29,2024-04-08 02:54:52,11.72,16.38,12.62,201.92,CARD,2024-04-08 02:54:51,True,16.0,2024-04-08
RID627,R5500,Rider_5500,Chennai,3.9,2025-09-05,D2447,Driver_2447,Mumbai,3.7,Mumbai,COMPLETED,2024-12-31 05:18:14,2024-12-31 05:33:50,2024-12-31 05:54:48,15.6,20.97,6.76,81.12,UPI,2024-12-31 05:54:47,True,12.0,2024-12-31
RID7976,R7670,Rider_7670,Hyderabad,4.8,2025-12-28,D282,Driver_282,Delhi,3.9,Delhi,COMPLETED,2025-08-01 14:54:39,2025-08-01 15:12:47,2025-08-01 15:36:03,18.13,23.27,7.8,78.0,CASH,2025-08-01 15:36:03,True,10.0,2025-08-01
RID20949,R3644,Rider_3644,Chennai,4.7,2025-10-10,D2508,Driver_2508,Hyderabad,3.6,Hyderabad,COMPLETED,2025-05-08 04:59:06,2025-05-08 05:12:37,2025-05-08 05:27:52,13.52,15.25,4.74,54.51,CARD,2025-05-08 05:27:51,True,11.5,2025-05-08
RID19334,R3176,Rider_3176,Chennai,3.7,2023-08-15,D4821,Driver_4821,Chennai,4.5,Chennai,COMPLETED,2023-01-30 23:07:46,2023-01-30 23:17:17,2023-01-30 23:41:12,9.52,23.92,13.06,248.14,CARD,2023-01-30 23:41:11,True,19.0,2023-01-30
RID5523,R2540,Rider_2540,Bangalore,4.5,2023-01-09,D3704,Driver_3704,Bangalore,4.6,Bangalore,COMPLETED,2024-07-15 21:59:01,2024-07-15 22:08:05,2024-07-15 22:26:17,9.07,18.2,7.36,147.2,UPI,2024-07-15 22:26:17,True,20.0,2024-07-15
RID5176,R6087,Rider_6087,Chennai,4.2,2024-12-20,D1949,Driver_1949,Chennai,4.6,Chennai,COMPLETED,2025-01-13 13:30:00,2025-01-13 13:40:56,2025-01-13 14:01:21,10.93,20.42,3.46,55.36,UPI,2025-01-13 14:01:21,True,16.0,2025-01-13
RID33480,R8973,Rider_8973,Mumbai,4.1,2023-06-11,D4609,Driver_4609,Bangalore,4.4,Bangalore,COMPLETED,2024-11-20 02:30:38,2024-11-20 02:41:43,2024-11-20 03:07:13,11.08,25.5,13.24,225.08,UPI,2024-11-20 03:07:13,True,17.0,2024-11-20
RID12346,R5572,Rider_5572,Bangalore,4.3,2025-04-29,D1626,Driver_1626,Mumbai,4.4,Mumbai,COMPLETED,2024-01-17 02:48:56,2024-01-17 03:03:37,2024-01-17 03:32:13,14.68,28.6,7.3,109.5,CASH,2024-01-17 03:32:13,True,15.0,2024-01-17
RID22375,R2150,Rider_2150,Delhi,4.7,2022-04-17,D2936,Driver_2936,Delhi,3.6,Delhi,COMPLETED,2023-10-08 06:13:48,2023-10-08 06:32:53,2023-10-08 06:57:26,19.08,24.55,9.36,93.6,UPI,2023-10-08 06:57:26,True,10.0,2023-10-08
RID3639,R6987,Rider_6987,Hyderabad,3.8,2022-11-30,D4263,Driver_4263,Mumbai,3.8,Mumbai,COMPLETED,2023-11-07 22:02:07,2023-11-07 22:19:38,2023-11-07 22:39:50,17.52,20.2,5.23,62.76,UPI,2023-11-07 22:39:50,True,12.0,2023-11-07
RID31501,R6453,Rider_6453,Hyderabad,3.9,2023-09-27,D1682,Driver_1682,Bangalore,4.4,Bangalore,COMPLETED,2025-03-06 10:09:56,2025-03-06 10:19:30,2025-03-06 10:43:24,9.57,23.9,7.36,147.2,UPI,2025-03-06 10:43:23,True,20.0,2025-03-06
RID9254,R1924,Rider_1924,Hyderabad,3.9,2023-03-05,D1665,Driver_1665,Delhi,4.0,Delhi,COMPLETED,2025-10-25 18:51:06,2025-10-25 19:11:17,2025-10-25 19:30:29,20.18,19.2,4.3,43.0,UPI,2025-10-25 19:30:28,True,10.0,2025-10-25
RID17781,R7577,Rider_7577,Delhi,3.9,2023-06-18,D4374,Driver_4374,Bangalore,4.7,Bangalore,COMPLETED,2024-05-05 02:34:13,2024-05-05 02:44:27,2024-05-05 02:58:47,10.23,14.33,7.1,120.7,UPI,2024-05-05 02:58:46,True,17.0,2024-05-05
