shift_id,driver_id,shift_date,hours_online,trips_completed
1,41834,12/4/2025,9.3,16
2,8869,11/19/2025,8,23
3,20467,12/9/2025,1.8,7
4,45764,12/27/2025,2.7,3
5,18380,12/28/2025,2.8,13
6,10164,12/4/2025,1.4,11
7,44727,12/28/2025,8.4,8
8,39188,11/16/2025,10.6,8
9,47429,11/20/2025,7.3,19
10,24509,12/14/2025,3.5,2
11,9844,1/12/2026,3.4,6
12,9661,1/2/2026,2.3,10
13,28193,12/3/2025,5.1,17
14,18683,1/7/2026,1.1,4
15,8949,1/11/2026,3.6,15
16,48957,11/16/2025,6,15
17,6659,11/15/2025,5.4,10
18,35165,11/19/2025,10.1,5
19,8300,12/16/2025,3.7,1
20,39756,12/18/2025,10.3,10
21,47405,12/1/2025,8.2,5
22,24743,11/23/2025,5.7,20
23,18947,11/19/2025,9.8,11
24,49961,12/17/2025,9.8,3
25,28167,12/13/2025,8.7,1
26,39748,12/22/2025,3.9,23
27,13834,11/19/2025,9.1,2
28,17393,11/21/2025,7.9,6
29,29196,12/24/2025,5.2,14
30,29254,12/26/2025,2.2,9
31,14336,11/25/2025,1.6,17
32,36318,11/24/2025,4.1,19
33,18770,11/24/2025,7.1,4
34,33856,12/21/2025,7.4,0
35,6617,1/5/2026,4.7,1
36,1862,12/13/2025,3.5,23
37,42136,11/25/2025,1.8,1
38,23009,11/17/2025,3.8,23
39,36113,11/27/2025,4.3,10
40,26985,1/5/2026,10.5,20
41,3625,12/27/2025,7.6,16
42,2337,11/25/2025,1.1,17
43,17974,11/18/2025,7,14
44,19421,12/10/2025,5.5,19
45,40735,12/10/2025,5.2,16
46,41800,11/28/2025,1.4,0
47,42333,11/25/2025,7,24
48,42733,12/6/2025,4.4,10
49,24544,11/24/2025,8.7,1
50,38168,12/23/2025,7.1,7
51,45926,12/24/2025,2.4,24
52,36481,12/8/2025,1.3,5
53,32990,1/9/2026,3.9,13
54,26847,11/16/2025,7.3,14
55,15754,12/28/2025,8.8,6
56,35374,12/23/2025,3.1,12
57,32287,11/22/2025,8.8,25
58,48788,1/4/2026,7.1,7
59,36242,12/18/2025,8,6
60,6253,1/4/2026,10.2,22
61,16997,12/12/2025,1.4,23
62,7941,12/5/2025,6.7,5
63,38656,11/28/2025,11,12
64,14751,11/28/2025,9.5,1
65,1150,1/2/2026,5,16
66,23518,12/17/2025,10.1,17
67,10437,12/25/2025,10.1,3
68,40577,12/20/2025,2,5
69,21213,11/25/2025,2.6,25
70,39180,11/24/2025,10.3,15
71,22509,11/17/2025,3.1,12
72,31483,1/3/2026,9.9,0
73,6655,12/10/2025,10.6,0
74,48208,12/11/2025,6,19
75,34672,11/29/2025,8.7,13
76,21216,12/17/2025,1.7,19
77,45421,11/27/2025,9.4,6
78,29676,12/5/2025,9.1,24
79,42708,12/26/2025,4.2,21
80,35988,1/8/2026,2.8,3
81,19690,12/13/2025,1,17
82,15724,12/12/2025,5.7,2
83,35990,12/25/2025,10.2,10
84,27358,12/12/2025,7.7,1
85,11984,1/11/2026,10.7,16
86,24114,1/12/2026,10.7,4
87,41054,12/31/2025,10.4,7
88,46786,12/24/2025,3.5,6
89,32888,11/27/2025,2.9,18
90,43434,12/14/2025,9.8,17
91,34846,11/28/2025,1,19
92,18596,12/28/2025,10.6,13
93,49440,11/29/2025,9,10
94,563,1/13/2026,1.1,2
95,21189,11/18/2025,4.2,20
96,23590,12/14/2025,4.3,8
97,47590,1/8/2026,9.9,22
98,21298,1/1/2026,10.3,15
99,25363,12/3/2025,10.1,12
100,25134,12/9/2025,2.7,7
101,43032,11/26/2025,11,22
102,15394,12/28/2025,7.9,23
103,24664,11/27/2025,3.5,15
104,3193,12/17/2025,1.7,4
105,12200,11/14/2025,6,1
106,26725,12/16/2025,2.1,13
107,47271,11/17/2025,7,6
108,9480,11/21/2025,1.6,20
109,49220,11/16/2025,1.9,18
110,37716,11/14/2025,3.5,3
111,37855,12/27/2025,10.2,0
112,18660,12/1/2025,5.1,0
113,15252,11/30/2025,3.7,16
114,4798,12/3/2025,6,16
115,5964,12/12/2025,8.1,2
116,26386,11/20/2025,2.7,13
117,33760,12/24/2025,5.7,7
118,28189,11/30/2025,9.6,21
119,42406,12/5/2025,10,17
120,34825,11/26/2025,3.1,1
121,49019,11/27/2025,4.2,19
122,25031,12/30/2025,2.4,19
123,9633,12/6/2025,5.2,14
124,20289,1/10/2026,9.2,11
125,5415,12/19/2025,4.5,23
126,29618,1/7/2026,5.4,1
127,34402,11/14/2025,10.6,22
128,45618,1/4/2026,6.4,18
129,21967,1/10/2026,1.4,2
130,38260,11/29/2025,3.4,5
131,4905,1/7/2026,1.2,17
132,12017,12/31/2025,8.8,24
133,29872,11/28/2025,5.4,11
134,49190,12/17/2025,6.3,0
135,49967,1/7/2026,2.7,20
136,41215,1/5/2026,9.8,10
137,10897,12/20/2025,10.4,14
138,19832,12/17/2025,8.3,9
139,4944,12/3/2025,3,19
140,39007,12/14/2025,1.2,7
141,20924,12/6/2025,3.2,15
142,24759,12/4/2025,2.1,6
143,47482,11/24/2025,7.4,17
144,15515,1/13/2026,6.4,25
145,6076,12/14/2025,10.5,16
146,47695,1/11/2026,3.5,13
147,16461,12/7/2025,2.4,9
148,25808,11/17/2025,1.2,13
149,18511,12/9/2025,1.7,8
150,30036,1/8/2026,4.3,7
151,9113,1/4/2026,9.2,2
152,46974,12/29/2025,10.9,15
153,15185,12/19/2025,5.2,10
154,26546,11/22/2025,8.9,18
155,34563,12/11/2025,9.1,10
156,24108,11/16/2025,4.6,14
157,25659,12/1/2025,6.5,25
158,36096,1/12/2026,6.8,20
159,36856,12/7/2025,2.5,19
160,48281,12/25/2025,1.6,24
161,4403,12/8/2025,6.1,3
162,31655,12/25/2025,4.6,11
163,36910,11/25/2025,1.3,6
164,24065,12/31/2025,8.8,1
165,38912,12/1/2025,9.1,9
166,9054,1/11/2026,6.2,11
167,30780,11/19/2025,6.8,20
168,42891,12/1/2025,1.9,21
169,17457,11/29/2025,7.3,17
170,8505,11/29/2025,6.2,18
171,21102,12/13/2025,3.5,20
172,1174,12/5/2025,9.1,24
173,19319,12/21/2025,7.8,5
174,36325,12/16/2025,9.6,3
175,49677,12/29/2025,2.1,12
176,38932,12/25/2025,6.4,15
177,25934,1/8/2026,2.9,16
178,26875,1/1/2026,8.1,13
179,41757,1/13/2026,2.9,11
180,25458,11/28/2025,7.9,20
181,13546,1/1/2026,1.2,1
182,36320,11/26/2025,1.1,11
183,16802,12/14/2025,6.7,13
184,33479,11/15/2025,6.6,10
185,26703,11/20/2025,8.6,13
186,507,1/13/2026,6.8,22
187,16218,12/8/2025,6.9,12
188,22210,12/24/2025,3,23
189,47176,11/26/2025,5.6,18
190,18984,12/14/2025,10.5,15
191,45908,12/10/2025,2.1,9
192,42713,11/26/2025,7.4,12
193,14755,12/27/2025,5.1,14
194,45981,11/27/2025,9,0
195,30337,11/24/2025,9.9,10
196,36066,12/18/2025,6.6,2
197,24788,12/5/2025,5.4,11
198,27045,12/4/2025,10.4,15
199,25266,11/18/2025,3.2,21
200,15970,11/17/2025,3.9,11
201,22271,12/5/2025,9.9,23
202,16935,12/14/2025,2.1,9
203,38282,12/22/2025,6.8,3
204,12657,11/26/2025,7,16
205,33861,12/24/2025,4.9,12
206,368,11/29/2025,9.8,10
207,9867,12/27/2025,2.3,2
208,4188,12/2/2025,4.9,6
209,27260,12/30/2025,9,13
210,12268,12/1/2025,6.1,6
211,12808,12/18/2025,4.1,8
212,24604,12/7/2025,8.8,13
213,12087,12/28/2025,2.7,4
214,18278,11/24/2025,5,3
215,34504,12/20/2025,2.4,6
216,15755,11/15/2025,6.9,2
217,47569,11/27/2025,1.8,13
218,19445,1/13/2026,9.6,18
219,14939,12/12/2025,4.9,23
220,31099,11/17/2025,9.8,13
221,165,12/20/2025,5.5,8
222,37267,12/9/2025,2.3,1
223,22916,11/19/2025,1.2,8
224,5277,11/30/2025,10.3,19
225,48597,1/5/2026,3.6,12
226,16553,12/27/2025,5.5,21
227,14518,12/13/2025,10.3,18
228,22855,12/26/2025,3.5,25
229,14638,12/8/2025,5.3,0
230,3927,12/6/2025,7.2,0
231,30717,12/6/2025,6,23
232,3263,11/15/2025,7.8,20
233,5525,12/23/2025,6.2,6
234,19227,12/16/2025,11,23
235,5542,12/9/2025,9.9,24
236,16659,12/31/2025,2.2,1
237,37847,11/24/2025,1.6,18
238,35528,1/9/2026,9.4,14
239,22270,12/10/2025,9,23
240,7238,1/2/2026,9.9,17
241,23390,12/6/2025,4.2,19
242,21090,11/24/2025,4.9,11
243,22764,12/6/2025,9.4,21
244,26296,11/23/2025,4,10
245,34573,11/20/2025,9.5,12
246,23103,12/24/2025,4.2,7
247,44233,12/8/2025,4.2,6
248,17295,12/25/2025,4,3
249,30811,1/11/2026,3.1,19
250,38832,11/26/2025,2.4,23
251,28474,11/16/2025,1.4,9
252,49103,11/29/2025,3.1,10
253,17442,12/5/2025,8.1,5
254,24430,12/4/2025,4.2,4
255,20948,11/28/2025,2.8,14
256,11593,11/21/2025,4.9,22
257,25708,1/1/2026,3.2,6
258,35564,1/2/2026,1.8,17
259,927,12/17/2025,4.5,11
260,19910,12/3/2025,2.5,5
261,45650,1/9/2026,7,13
262,26788,11/17/2025,6.6,11
263,9390,12/25/2025,3.8,1
264,19798,12/4/2025,1.1,5
265,13810,11/19/2025,7.4,13
266,8578,1/11/2026,2.1,16
267,18352,12/17/2025,9.8,13
268,46624,11/26/2025,3.2,2
269,4091,12/26/2025,8.7,22
270,21885,12/23/2025,5.1,11
271,13851,12/26/2025,8.8,25
272,15000,1/4/2026,8,9
273,43295,12/7/2025,4.8,11
274,40151,12/8/2025,10.1,2
275,44991,12/26/2025,6.2,17
276,4211,12/7/2025,4,18
277,22456,12/7/2025,10.7,13
278,47815,12/4/2025,7.6,7
279,23067,1/10/2026,6.1,14
280,7081,12/9/2025,6.6,5
281,1358,12/22/2025,1.5,24
282,22518,1/8/2026,8.9,15
283,38114,1/12/2026,7.7,18
284,26339,11/19/2025,11,21
285,6364,1/5/2026,10.2,11
286,15458,12/12/2025,2.2,1
287,44980,11/16/2025,6.4,13
288,33072,1/5/2026,5.6,3
289,1059,12/20/2025,6.3,17
290,30650,12/22/2025,3.1,5
291,7449,12/10/2025,10.3,18
292,46444,11/15/2025,5.9,1
293,15113,12/5/2025,9.1,9
294,49175,12/19/2025,8.6,5
295,26832,12/14/2025,9.3,1
296,2484,1/1/2026,9.9,3
297,49232,12/12/2025,7.8,0
298,28978,12/9/2025,8.5,9
299,20987,11/21/2025,6,1
300,2462,12/27/2025,7,2
301,33100,12/11/2025,8.6,24
302,34207,1/4/2026,2.4,10
303,10778,12/27/2025,10.2,5
304,18138,1/12/2026,7.6,23
305,48817,12/31/2025,3.7,8
306,10679,12/29/2025,4.3,4
307,13587,12/18/2025,5.3,25
308,31998,12/23/2025,7.5,24
309,44497,12/30/2025,5.3,15
310,25641,11/25/2025,4.3,13
311,37730,12/14/2025,10.4,4
312,5487,12/10/2025,4.1,12
313,1399,12/3/2025,7.2,24
314,30674,12/3/2025,1.6,7
315,17342,1/8/2026,2.7,1
316,47188,1/9/2026,9.7,23
317,33251,12/30/2025,2.4,5
318,36341,11/24/2025,6.8,8
319,24609,12/30/2025,4.1,11
320,45952,12/17/2025,1.2,11
321,38299,12/8/2025,3.6,4
322,5955,12/12/2025,2.9,4
323,45149,12/15/2025,1.7,3
324,41004,12/21/2025,4.5,6
325,42963,11/24/2025,4.9,1
326,33715,12/25/2025,4.5,6
327,2710,12/10/2025,2.5,7
328,22265,1/12/2026,3.3,19
329,21025,12/28/2025,7.4,12
330,19390,11/26/2025,8.3,24
331,21423,12/29/2025,6.1,0
332,39266,12/5/2025,9.7,12
333,43740,1/5/2026,6,17
334,37705,1/7/2026,7.2,13
335,17374,1/13/2026,2,22
336,46345,1/2/2026,4.3,19
337,14408,12/28/2025,9.3,13
338,25627,12/2/2025,9.7,8
339,16397,12/2/2025,1.7,5
340,25127,11/14/2025,3.1,8
341,15572,11/28/2025,8.1,3
342,24891,11/18/2025,6,7
343,1669,1/3/2026,1.2,25
344,2691,12/24/2025,2.3,18
345,48241,11/20/2025,6.7,24
346,20232,1/3/2026,4.9,14
347,2971,11/22/2025,9.9,6
348,25265,11/19/2025,5.8,3
349,20314,12/8/2025,1.6,16
350,6075,12/2/2025,5.5,0
351,49252,12/12/2025,1.1,0
352,2827,12/1/2025,1.4,9
353,45741,11/15/2025,3.7,17
354,45696,11/15/2025,5.8,16
355,17535,1/5/2026,10.7,22
356,9565,12/10/2025,9.9,24
357,46836,1/2/2026,10.5,19
358,7244,11/16/2025,10.2,19
359,24144,12/4/2025,5.8,24
360,8781,11/21/2025,1.2,19
361,9663,11/18/2025,8,6
362,20447,12/9/2025,8,9
363,18722,12/5/2025,3.8,9
364,18538,12/3/2025,9.2,21
365,26420,1/9/2026,1.1,15
366,46284,11/22/2025,10.5,9
367,7578,12/30/2025,3.3,5
368,46127,1/2/2026,9.3,23
369,19365,11/17/2025,6,2
370,39490,12/22/2025,2.3,2
371,535,1/1/2026,8.3,23
372,45229,11/24/2025,1.7,0
373,27963,11/30/2025,8.8,25
374,10335,12/28/2025,1.8,20
375,44633,11/20/2025,10.8,0
376,39584,12/16/2025,2.4,21
377,4675,11/14/2025,8.7,14
378,7820,11/27/2025,9.5,2
379,28790,12/6/2025,5.8,4
380,10885,11/21/2025,9.8,21
381,5075,1/9/2026,5.3,20
382,1162,11/29/2025,8.9,1
383,15854,12/10/2025,7.1,2
384,16685,12/30/2025,6.1,18
385,24850,12/5/2025,5.2,2
386,30225,12/11/2025,3.3,2
387,32329,12/9/2025,2.4,12
388,36129,12/16/2025,9.4,12
389,29614,11/27/2025,4.5,13
390,28436,11/29/2025,2.4,14
391,21538,11/26/2025,1.4,8
392,37523,12/28/2025,3.7,18
393,43468,1/2/2026,10.2,17
394,43634,1/11/2026,9.4,1
395,42934,12/30/2025,9.3,11
396,21904,11/14/2025,10.3,19
397,8757,11/28/2025,5.1,1
398,43296,1/13/2026,4.2,6
399,28892,12/7/2025,7.9,12
400,21084,1/2/2026,9.4,14
401,2565,12/17/2025,7.8,25
402,40620,12/26/2025,9,0
403,40399,12/11/2025,1.8,25
404,16947,12/16/2025,3.3,3
405,45163,12/9/2025,3,9
406,17080,1/2/2026,5.5,17
407,44758,12/26/2025,8.9,25
408,1173,12/16/2025,2,15
409,11835,12/30/2025,3.5,11
410,45205,12/13/2025,10.3,10
411,21704,11/20/2025,2.4,17
412,11041,12/30/2025,2.6,24
413,12292,12/2/2025,8.1,4
414,32614,1/4/2026,8.1,6
415,39092,12/6/2025,10.8,21
416,7436,1/4/2026,7.6,12
417,31225,12/18/2025,1.6,19
418,14596,11/25/2025,2.4,23
419,25734,1/1/2026,2.4,10
420,5815,12/22/2025,2.5,1
421,29472,12/1/2025,10.6,15
422,17926,12/22/2025,6.9,18
423,6903,12/24/2025,1.5,14
424,29494,11/17/2025,4.2,2
425,37726,1/7/2026,4.3,17
426,2985,12/2/2025,8.2,8
427,7480,11/15/2025,2.4,17
428,27338,1/9/2026,2.3,14
429,33757,1/1/2026,8.4,17
430,14788,12/20/2025,1.1,2
431,18845,12/6/2025,9.2,2
432,34698,12/10/2025,10.7,23
433,29702,1/10/2026,4.3,9
434,36039,12/16/2025,6.7,11
435,18188,11/16/2025,1.6,8
436,7278,11/15/2025,4.7,5
437,8169,12/11/2025,6.3,18
438,36948,12/9/2025,5.5,12
439,23144,12/25/2025,3.8,3
440,22497,12/7/2025,8.8,17
441,34560,11/25/2025,4.3,2
442,7233,12/10/2025,6.5,2
443,10378,1/9/2026,1.3,17
444,21869,12/23/2025,4.8,24
445,38384,1/13/2026,1.4,1
446,35455,1/6/2026,5.2,7
447,24081,11/29/2025,7.5,1
448,10950,12/22/2025,4.5,18
449,48090,1/10/2026,8.3,12
450,19630,12/13/2025,5.8,0
451,49201,11/14/2025,6.6,16
452,40459,12/31/2025,10.9,2
453,32432,1/10/2026,2.5,8
454,941,12/26/2025,10,1
455,24696,12/12/2025,1.5,10
456,13367,11/19/2025,3.9,7
457,46295,12/4/2025,2.6,20
458,9265,1/13/2026,5.4,4
459,24054,12/11/2025,7.8,23
460,47882,11/27/2025,9.7,20
461,482,12/19/2025,1.5,5
462,45260,11/29/2025,5.9,20
463,33939,11/21/2025,9,2
464,25608,11/18/2025,3.7,14
465,23027,1/1/2026,9.2,25
466,48755,12/27/2025,4.9,4
467,16922,11/22/2025,10.7,12
468,17420,12/22/2025,10.6,0
469,4287,12/10/2025,10,0
470,17351,12/17/2025,6.5,14
471,935,1/13/2026,6.3,3
472,7026,11/20/2025,6.8,19
473,19255,12/13/2025,1.8,21
474,42265,11/21/2025,4.3,25
475,46379,12/7/2025,10,8
476,23622,1/2/2026,7.8,11
477,48353,12/3/2025,5.3,13
478,20721,12/14/2025,6.2,13
479,1578,11/18/2025,8.1,18
480,586,12/15/2025,8.7,1
481,22279,12/23/2025,2.3,12
482,35475,12/29/2025,5.4,24
483,18697,1/2/2026,3.4,10
484,46711,12/25/2025,10.9,5
485,47408,11/17/2025,1.6,11
486,12423,12/10/2025,1.5,3
487,15145,12/16/2025,4.4,13
488,141,12/17/2025,9.3,0
489,25717,12/2/2025,5.4,6
490,26668,1/3/2026,10.9,4
491,30007,12/14/2025,3.5,19
492,32866,11/20/2025,4.8,1
493,17230,1/7/2026,7.5,6
494,25912,12/25/2025,9.7,15
495,41113,12/17/2025,7.9,24
496,35402,12/29/2025,1.4,17
497,3578,1/8/2026,1.1,0
498,27575,12/11/2025,9.5,16
499,25957,12/12/2025,9.2,13
500,37121,12/23/2025,7.1,13
501,48427,12/9/2025,10.4,8
502,22669,11/29/2025,5.2,4
503,18899,12/12/2025,6.1,10
504,7579,12/30/2025,5,6
505,14252,11/26/2025,10,3
506,35119,1/8/2026,1.7,3
507,37817,12/29/2025,1.6,15
508,38139,1/9/2026,8.3,3
509,35210,12/30/2025,2.7,8
510,39966,11/28/2025,6.4,2
511,25690,11/26/2025,1.4,23
512,21229,1/2/2026,4.6,0
513,12720,11/14/2025,4.7,21
514,37676,12/17/2025,8.2,20
515,26473,1/5/2026,8.9,14
516,26624,1/13/2026,7.2,4
517,43754,11/15/2025,6.8,25
518,14659,12/9/2025,1.2,18
519,40078,1/2/2026,8.9,20
520,20303,12/11/2025,2.2,24
521,11828,1/6/2026,8.1,9
522,41998,1/8/2026,10.1,25
523,28246,12/6/2025,10.6,8
524,31631,1/9/2026,2.5,9
525,17205,12/3/2025,8.6,15
526,25399,1/10/2026,6.7,6
527,21691,12/3/2025,9,7
528,48895,12/25/2025,10.1,22
529,45920,12/26/2025,7,22
530,19422,12/22/2025,10.1,3
531,9005,1/4/2026,10.8,10
532,11518,12/29/2025,7.3,24
533,26902,1/13/2026,9.8,12
534,8129,12/13/2025,6.5,19
535,19510,12/18/2025,11,15
536,19723,1/11/2026,8.7,20
537,2671,1/7/2026,5.9,3
538,32511,12/2/2025,6.2,6
539,45493,12/9/2025,6.3,3
540,48815,11/27/2025,4.3,7
541,41895,1/2/2026,6.5,9
542,12258,1/7/2026,8.5,11
543,34073,12/22/2025,8.7,19
544,35821,11/26/2025,10.9,25
545,1425,12/29/2025,5,21
546,15736,12/10/2025,3.9,24
547,15329,12/18/2025,3.9,14
548,758,11/21/2025,11,9
549,1318,11/24/2025,7.3,20
550,27408,12/11/2025,7.2,25
551,21257,1/6/2026,9.4,22
552,23480,12/18/2025,2.2,13
553,8875,12/27/2025,2,7
554,46363,12/7/2025,3,15
555,39622,11/26/2025,6.8,2
556,19747,11/14/2025,8.6,7
557,36692,12/24/2025,3.2,14
558,23082,11/27/2025,2.9,13
559,37839,1/8/2026,3.4,8
560,46914,12/18/2025,2.1,2
561,45383,11/23/2025,8.3,14
562,4146,12/9/2025,9.7,13
563,34648,1/12/2026,11,12
564,20489,12/30/2025,10,11
565,3729,12/14/2025,10.3,2
566,6175,1/1/2026,4.5,17
567,41525,1/4/2026,7.9,12
568,37687,11/19/2025,2.9,11
569,47783,12/23/2025,10.9,10
570,30989,12/23/2025,5.1,9
571,41534,11/21/2025,5.7,7
572,33075,11/29/2025,4.3,2
573,45707,12/25/2025,8.9,3
574,13688,11/17/2025,2.5,22
575,20643,1/1/2026,10.5,21
576,34395,1/11/2026,5.2,5
577,16973,1/3/2026,8.4,6
578,14181,12/17/2025,6.2,17
579,15386,1/2/2026,3.9,11
580,43769,1/10/2026,8.8,8
581,22985,1/6/2026,7.1,1
582,20525,11/25/2025,7,8
583,41207,12/4/2025,9.1,6
584,40605,12/10/2025,1.5,3
585,41118,12/6/2025,7.2,20
586,29364,1/6/2026,4.6,6
587,17827,12/5/2025,1.8,0
588,37735,11/30/2025,9.8,20
589,5731,12/11/2025,7.6,21
590,4777,11/22/2025,8.3,25
591,11524,12/10/2025,8.6,5
592,21580,12/29/2025,1.8,20
593,47793,12/24/2025,9.1,1
594,41840,12/24/2025,5.9,21
595,19362,1/11/2026,8.4,3
596,20493,11/27/2025,10.1,15
597,39424,11/18/2025,10.1,20
598,25356,12/29/2025,3.4,25
599,27066,11/27/2025,7.1,21
600,22771,12/7/2025,8.8,19
601,871,12/1/2025,4.8,0
602,27378,12/12/2025,7.9,17
603,30541,1/11/2026,9.5,9
604,7342,12/7/2025,8.9,11
605,5220,12/30/2025,3.3,15
606,29363,12/16/2025,9.3,15
607,20779,12/4/2025,6.4,21
608,5605,1/7/2026,10.4,4
609,20499,11/26/2025,5.9,1
610,36126,1/2/2026,5.7,23
611,43350,11/28/2025,1.5,12
612,32508,11/25/2025,4.9,13
613,9729,12/8/2025,3.2,7
614,19089,12/3/2025,10.8,13
615,6543,1/5/2026,4.4,6
616,8569,12/6/2025,2.1,12
617,16951,12/10/2025,7.2,12
618,35784,12/31/2025,9.9,9
619,26782,11/14/2025,5.1,3
620,42285,12/16/2025,6.4,1
621,1290,11/27/2025,8.3,4
622,21013,11/22/2025,10.8,5
623,15964,11/22/2025,9.2,20
624,4093,1/8/2026,3,7
625,41713,12/18/2025,7.4,3
626,32656,11/24/2025,6.3,15
627,33025,12/19/2025,8.3,19
628,48922,12/22/2025,2.6,15
629,22306,12/3/2025,2.2,19
630,11692,1/13/2026,3.6,14
631,41202,1/7/2026,8.4,15
632,34248,12/20/2025,2.1,11
633,21590,12/3/2025,2.2,19
634,31717,12/17/2025,1.1,17
635,33230,1/10/2026,4.6,5
636,34507,1/12/2026,4.5,2
637,19715,12/31/2025,8.3,5
638,17919,12/5/2025,5.5,18
639,9028,12/13/2025,7,5
640,20767,1/13/2026,4.2,1
641,4178,11/21/2025,5.7,0
642,9337,11/19/2025,6,19
643,14282,12/14/2025,1.3,9
644,6617,12/25/2025,6.2,13
645,48161,12/21/2025,5,6
646,21035,12/26/2025,8.1,15
647,23805,11/23/2025,3.2,15
648,7383,11/14/2025,6.5,3
