driver_id,driver_name,city,join_date,driver_rating,is_active
1,Driver_1,Chennai,2/22/2021,3.6,Y
2,Driver_2,Chennai,10/11/2022,3.1,Y
3,Driver_3,Hyderabad,1/13/2021,3.3,Y
4,Driver_4,Hyderabad,3/14/2023,3.1,Y
5,Driver_5,Hyderabad,3/28/2022,4.3,Y
6,Driver_6,Hyderabad,3/23/2023,3.9,Y
7,Driver_7,Mumbai,4/25/2023,3.2,Y
8,Driver_8,Mumbai,11/1/2024,4,Y
9,Driver_9,Mumbai,4/24/2022,4.3,Y
10,Driver_10,Hyderabad,6/20/2024,4.9,Y
11,Driver_11,Mumbai,10/25/2021,3,N
12,Driver_12,Hyderabad,10/12/2022,3.2,Y
13,Driver_13,Bangalore,5/24/2024,4.5,Y
14,Driver_14,Hyderabad,12/25/2024,4.1,Y
15,Driver_15,Bangalore,11/10/2023,3.9,Y
16,Driver_16,Bangalore,3/7/2024,3.3,Y
17,Driver_17,Delhi,8/20/2022,4.6,Y
18,Driver_18,Delhi,10/17/2022,3.8,Y
19,Driver_19,Chennai,3/18/2021,3.1,Y
20,Driver_20,Hyderabad,7/1/2024,4.6,Y
21,Driver_21,Hyderabad,3/25/2023,3,Y
22,Driver_22,Mumbai,8/12/2022,4.3,Y
23,Driver_23,Mumbai,12/20/2022,4.9,Y
24,Driver_24,Bangalore,3/9/2022,4.9,Y
25,Driver_25,Chennai,9/21/2024,3.8,Y
26,Driver_26,Delhi,2/17/2023,3.8,Y
27,Driver_27,Hyderabad,1/14/2023,4.7,N
28,Driver_28,Hyderabad,5/1/2024,3.4,Y
29,Driver_29,Bangalore,9/27/2024,3.9,Y
30,Driver_30,Chennai,12/12/2024,3.4,Y
31,Driver_31,Delhi,2/11/2021,3.8,Y
32,Driver_32,Bangalore,12/8/2021,4.3,Y
33,Driver_33,Chennai,4/7/2024,4.7,Y
34,Driver_34,Bangalore,5/25/2022,4.6,Y
35,Driver_35,Delhi,1/4/2024,4.2,Y
36,Driver_36,Hyderabad,12/21/2023,4.7,Y
37,Driver_37,Hyderabad,9/22/2021,4.2,N
38,Driver_38,Bangalore,10/26/2023,3.8,Y
39,Driver_39,Mumbai,4/8/2024,3.3,Y
40,Driver_40,Hyderabad,9/1/2023,3.1,N
41,Driver_41,Chennai,6/22/2022,3.6,Y
42,Driver_42,Chennai,10/12/2023,3.3,Y
43,Driver_43,Mumbai,1/14/2023,3.2,Y
44,Driver_44,Delhi,11/23/2022,4.1,Y
45,Driver_45,Hyderabad,1/11/2024,5,Y
46,Driver_46,Bangalore,9/26/2021,4.3,Y
47,Driver_47,Mumbai,10/14/2023,3.9,Y
48,Driver_48,Chennai,2/23/2021,3.7,Y
49,Driver_49,Hyderabad,9/4/2023,4.2,N
50,Driver_50,Delhi,8/7/2021,3.9,Y
51,Driver_51,Delhi,6/8/2024,4.6,Y
52,Driver_52,Bangalore,8/4/2024,5,Y
53,Driver_53,Mumbai,9/1/2021,4.7,Y
54,Driver_54,Chennai,10/20/2023,4.8,Y
55,Driver_55,Bangalore,2/17/2021,3.4,Y
56,Driver_56,Mumbai,5/7/2024,5,Y
57,Driver_57,Bangalore,3/1/2022,3.3,Y
58,Driver_58,Hyderabad,3/11/2024,3.2,N
59,Driver_59,Delhi,1/23/2024,4.2,Y
60,Driver_60,Bangalore,9/8/2024,3.2,Y
61,Driver_61,Chennai,10/17/2021,3.9,Y
62,Driver_62,Delhi,9/13/2024,3.1,Y
63,Driver_63,Bangalore,12/23/2023,3.5,Y
64,Driver_64,Mumbai,6/15/2023,3,Y
65,Driver_65,Mumbai,8/12/2024,3.1,Y
66,Driver_66,Chennai,4/22/2024,4.6,Y
67,Driver_67,Hyderabad,4/18/2022,3.4,Y
68,Driver_68,Delhi,4/10/2023,3.2,Y
69,Driver_69,Hyderabad,1/28/2021,3.8,Y
70,Driver_70,Chennai,5/20/2023,3.8,Y
71,Driver_71,Chennai,4/5/2024,4.4,Y
72,Driver_72,Bangalore,2/27/2024,3.8,Y
73,Driver_73,Hyderabad,5/17/2022,4.1,Y
74,Driver_74,Delhi,9/16/2024,3.4,N
75,Driver_75,Chennai,4/10/2022,3.1,Y
76,Driver_76,Chennai,11/20/2024,3.5,Y
77,Driver_77,Bangalore,7/13/2021,4.3,Y
78,Driver_78,Hyderabad,3/18/2021,4.4,Y
79,Driver_79,Chennai,5/10/2024,3.5,N
80,Driver_80,Delhi,1/7/2023,4.5,N
81,Driver_81,Hyderabad,5/21/2021,4.6,Y
82,Driver_82,Chennai,11/18/2024,4.6,N
83,Driver_83,Delhi,3/21/2023,3.9,Y
84,Driver_84,Hyderabad,11/17/2024,4.2,Y
85,Driver_85,Mumbai,6/11/2023,4.3,Y
86,Driver_86,Delhi,8/21/2023,4.2,Y
87,Driver_87,Hyderabad,5/28/2021,3.3,Y
88,Driver_88,Chennai,3/12/2024,4.3,Y
89,Driver_89,Mumbai,11/15/2022,4.8,Y
90,Driver_90,Delhi,8/24/2023,3.7,Y
91,Driver_91,Delhi,2/14/2022,3.2,Y
92,Driver_92,Bangalore,3/11/2021,3.1,N
93,Driver_93,Chennai,1/1/2021,5,Y
94,Driver_94,Delhi,9/7/2024,3.9,Y
95,Driver_95,Mumbai,11/26/2024,3.2,Y
96,Driver_96,Chennai,6/4/2022,4.1,Y
97,Driver_97,Mumbai,8/22/2021,3.2,Y
98,Driver_98,Chennai,5/8/2023,3.9,Y
99,Driver_99,Delhi,11/8/2023,4,Y
100,Driver_100,Mumbai,6/17/2023,3.4,Y
101,Driver_101,Mumbai,5/24/2023,3.6,Y
102,Driver_102,Delhi,7/22/2024,4.2,Y
103,Driver_103,Bangalore,4/27/2021,3.2,Y
104,Driver_104,Delhi,5/11/2023,3.8,Y
105,Driver_105,Chennai,12/14/2021,3,Y
106,Driver_106,Hyderabad,10/15/2021,3.3,Y
107,Driver_107,Chennai,10/24/2022,3.7,Y
108,Driver_108,Delhi,8/7/2023,3.8,Y
109,Driver_109,Mumbai,1/22/2024,4.4,Y
110,Driver_110,Delhi,3/26/2024,3,Y
111,Driver_111,Bangalore,12/24/2023,4.9,Y
112,Driver_112,Bangalore,11/18/2021,3.4,Y
113,Driver_113,Delhi,2/2/2023,4.1,Y
114,Driver_114,Mumbai,11/15/2021,3.9,N
115,Driver_115,Bangalore,9/25/2022,4.2,Y
116,Driver_116,Mumbai,5/22/2023,4.3,Y
117,Driver_117,Delhi,1/7/2024,3.7,Y
118,Driver_118,Delhi,4/15/2022,3.6,Y
119,Driver_119,Delhi,9/4/2021,3.9,Y
120,Driver_120,Chennai,7/7/2024,4.7,N
121,Driver_121,Chennai,9/14/2021,4.9,Y
122,Driver_122,Mumbai,8/24/2024,3.2,Y
123,Driver_123,Chennai,8/23/2021,4.1,Y
124,Driver_124,Mumbai,2/6/2021,3.6,Y
125,Driver_125,Delhi,1/3/2024,4.5,Y
126,Driver_126,Chennai,6/9/2021,3.7,Y
127,Driver_127,Delhi,3/1/2024,4.7,N
128,Driver_128,Delhi,6/17/2021,4.6,Y
129,Driver_129,Chennai,10/21/2023,3.7,Y
130,Driver_130,Chennai,8/7/2021,3.3,Y
131,Driver_131,Chennai,8/5/2024,4.2,Y
132,Driver_132,Chennai,4/8/2022,4.2,Y
133,Driver_133,Mumbai,1/18/2024,3.3,Y
134,Driver_134,Hyderabad,10/16/2021,4.6,Y
135,Driver_135,Chennai,11/26/2021,3.8,Y
136,Driver_136,Delhi,2/13/2022,3.6,Y
137,Driver_137,Chennai,11/23/2024,3.2,Y
138,Driver_138,Delhi,10/14/2024,3.2,Y
139,Driver_139,Bangalore,4/21/2023,3.8,Y
140,Driver_140,Delhi,12/28/2022,4.9,Y
