payment_id,ride_id,payment_method,payment_status,payment_time,amount
1,1,cash,success,9/19/2025 11:31:13,52.95
2,2,card,success,10/18/2025 23:39:43,50.41
3,3,card,success,8/8/2025 4:09:28,142.78
4,4,cash,success,8/26/2025 15:44:39,129.16
5,5,upi,success,12/15/2025 12:50:35,202.56
6,6,upi,success,12/13/2025 10:03:31,157.92
7,7,card,success,12/24/2025 3:46:36,228.71
8,8,card,success,7/26/2025 12:41:07,187.95
9,9,card,success,11/15/2025 2:11:00,134.44
10,10,card,success,12/28/2025 12:04:43,269.6
11,11,upi,success,9/6/2025 3:03:28,66.56
12,12,upi,success,9/21/2025 2:44:50,110.72
13,13,card,success,12/12/2025 2:12:47,302.72
14,14,card,success,8/11/2025 4:11:19,59.89
15,15,upi,success,1/12/2026 1:44:00,311.29
16,16,cash,success,9/12/2025 23:37:33,160.26
17,17,upi,success,8/7/2025 15:28:03,231.48
18,18,card,success,1/3/2026 17:26:14,191.13
19,19,card,success,8/9/2025 0:24:39,143.41
20,20,card,success,9/12/2025 6:36:53,78.84
21,21,cash,success,12/4/2025 22:42:19,161.09
22,22,card,success,1/10/2026 17:25:50,255.79
23,23,upi,success,11/2/2025 11:06:19,78.44
24,24,card,success,10/16/2025 11:30:02,170.73
25,25,cash,success,12/23/2025 15:07:08,54.5
26,26,upi,success,11/12/2025 5:54:44,127.8
27,27,upi,success,12/17/2025 5:10:27,79.22
28,28,card,success,11/2/2025 6:46:58,285.26
29,29,cash,success,8/13/2025 12:07:59,251.17
30,30,upi,success,10/12/2025 3:50:18,85.78
31,31,cash,success,10/9/2025 7:46:21,123.18
32,32,cash,success,1/8/2026 7:07:59,80
33,33,card,success,9/15/2025 5:32:21,174.71
34,34,card,success,10/10/2025 6:07:21,138.01
35,35,card,success,1/7/2026 1:28:42,211.76
36,36,cash,success,12/8/2025 16:46:25,315.72
37,37,card,success,9/18/2025 8:45:53,127.87
38,38,cash,success,7/23/2025 7:30:06,230.97
39,39,upi,success,12/2/2025 12:16:08,304.41
40,40,upi,success,12/25/2025 9:14:58,341.24
41,41,card,success,8/13/2025 13:05:40,345.56
42,42,card,success,9/2/2025 1:15:50,159.74
43,43,cash,success,7/19/2025 6:33:32,113.49
44,44,card,success,7/18/2025 4:50:48,267.32
45,45,cash,success,8/2/2025 4:41:43,122.9
