rider_id,rider_name,city,signup_date,rating
1,Rider_1,Delhi,8/13/2022,4.1
2,Rider_2,Hyderabad,11/13/2022,4.5
3,Rider_3,Chennai,5/1/2022,4.6
4,Rider_4,Mumbai,11/20/2023,3.3
5,Rider_5,Mumbai,9/7/2022,3.1
6,Rider_6,Hyderabad,10/16/2022,3
7,Rider_7,Bangalore,1/15/2024,3.2
8,Rider_8,Delhi,3/14/2023,4.1
9,Rider_9,Hyderabad,10/27/2022,3.8
10,Rider_10,Hyderabad,9/13/2024,3.8
11,Rider_11,Bangalore,11/10/2022,4
12,Rider_12,Mumbai,2/12/2022,3.6
13,Rider_13,Chennai,10/9/2024,4.6
14,Rider_14,Bangalore,12/11/2022,4.8
15,Rider_15,Mumbai,11/1/2024,3.1
16,Rider_16,Mumbai,7/8/2023,3.8
17,Rider_17,Bangalore,2/12/2022,3.5
18,Rider_18,Mumbai,4/21/2022,3.1
19,Rider_19,Hyderabad,4/28/2022,4.3
20,Rider_20,Hyderabad,11/13/2022,3.6
21,Rider_21,Chennai,3/19/2024,3.6
22,Rider_22,Hyderabad,5/17/2024,4
23,Rider_23,Mumbai,6/18/2023,3.3
24,Rider_24,Delhi,6/21/2022,3.2
25,Rider_25,Bangalore,4/22/2023,4.9
26,Rider_26,Bangalore,10/26/2023,3.9
27,Rider_27,Delhi,7/18/2023,3.6
28,Rider_28,Chennai,9/28/2023,4
29,Rider_29,Hyderabad,5/5/2023,3.3
30,Rider_30,Delhi,7/3/2023,4
31,Rider_31,Hyderabad,10/28/2024,4.7
32,Rider_32,Delhi,10/20/2023,3
33,Rider_33,Bangalore,4/2/2022,4.3
34,Rider_34,Delhi,3/26/2024,5
35,Rider_35,Bangalore,12/11/2024,4.2
36,Rider_36,Hyderabad,3/9/2022,4.1
37,Rider_37,Mumbai,4/3/2023,3.3
38,Rider_38,Delhi,11/13/2023,3.5
39,Rider_39,Hyderabad,12/1/2023,3.6
40,Rider_40,Delhi,12/23/2022,4.3
41,Rider_41,Delhi,9/24/2023,3.4
42,Rider_42,Chennai,4/11/2022,4.9
43,Rider_43,Delhi,10/21/2023,3.9
44,Rider_44,Delhi,5/28/2023,4.6
45,Rider_45,Mumbai,1/14/2023,3.1
46,Rider_46,Hyderabad,3/21/2022,4.7
47,Rider_47,Hyderabad,1/23/2024,4.3
48,Rider_48,Mumbai,7/18/2023,4
49,Rider_49,Mumbai,10/17/2024,4.9
50,Rider_50,Chennai,4/27/2024,4.1
51,Rider_51,Mumbai,10/23/2023,4
52,Rider_52,Mumbai,8/27/2022,3.5
53,Rider_53,Bangalore,12/12/2022,5
54,Rider_54,Mumbai,1/7/2022,3.5
55,Rider_55,Chennai,2/14/2022,3.2
56,Rider_56,Hyderabad,3/18/2024,3.2
57,Rider_57,Delhi,6/1/2023,4.2
58,Rider_58,Chennai,11/19/2022,3.8
59,Rider_59,Mumbai,12/12/2024,4.9
60,Rider_60,Mumbai,4/22/2022,4.3
61,Rider_61,Chennai,7/28/2024,4.7
62,Rider_62,Hyderabad,7/17/2024,4.6
63,Rider_63,Bangalore,5/1/2023,4.6
64,Rider_64,Hyderabad,8/10/2022,3.5
65,Rider_65,Mumbai,12/24/2023,4.9
66,Rider_66,Hyderabad,2/3/2024,3.4
67,Rider_67,Mumbai,12/26/2022,4.9
68,Rider_68,Chennai,7/25/2023,4.7
69,Rider_69,Delhi,1/2/2024,4.1
70,Rider_70,Delhi,1/8/2022,3.8
71,Rider_71,Chennai,2/7/2022,3.1
72,Rider_72,Chennai,11/27/2023,3.3
73,Rider_73,Bangalore,5/18/2024,4.4
